Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group,State,,,,,,,,,,,,,,,,,
Microhexura montivaga,Spruce-fir moss spider,Wherever found,4,Endangered,Arachnids,Virginia,,,,,,,,,,,,,,,,,
Antrolana lira,Madison Cave isopod,Wherever found,5,Threatened,Crustaceans,Virginia,,,,,,,,,,,,,,,,,
Lirceus usdagalun,Lee County cave isopod,Wherever found,5,Endangered,Crustaceans,Virginia,,,,,,,,,,,,,,,,,
Betula uber,Virginia round-leaf birch,Wherever found,5,Threatened,Flowering Plants,Virginia,,,,,,,,,,,,,,,,,
Cardamine micranthera,Small-anthered bittercress,Wherever found,4,Endangered,Flowering Plants,Virginia,,,,,,,,,,,,,,,,,
Geum radiatum,Spreading avens,Wherever found,4,Endangered,Flowering Plants,Virginia,,,,,,,,,,,,,,,,,
Isotria medeoloides,Small whorled pogonia,,5,Threatened,Flowering Plants,Virginia,,,,,,,,,,,,,,,,,
Scirpus ancistrochaetus,Northeastern bulrush,,5,Endangered,Flowering Plants,Virginia,,,,,,,,,,,,,,,,,
Aeschynomene virginica,Sensitive joint-vetch,Wherever found,5,Threatened,Flowering Plants,Virginia,,,,,,,,,,,,,,,,,
Echinacea laevigata,Smooth coneflower,Wherever found,4,Threatened,Flowering Plants,Virginia,,,,,,,,,,,,,,,,,
Hedyotis purpurea var. montana,Roan Mountain bluet,Wherever found,4,Endangered,Flowering Plants,Virginia,,,,,,,,,,,,,,,,,
Helonias bullata,Swamp pink,,5,Threatened,Flowering Plants,Virginia,,,,,,,,,,,,,,,,,
Iliamna corei,Peter's Mountain mallow,Wherever found,5,Endangered,Flowering Plants,Virginia,,,,,,,,,,,,,,,,,
Platanthera leucophaea,Eastern prairie fringed orchid,Wherever found,3,Threatened,Flowering Plants,Virginia,,,,,,,,,,,,,,,,,
Ptilimnium nodosum,Harperella,Wherever found,5,Endangered,Flowering Plants,Virginia,,,,,,,,,,,,,,,,,
Rhus michauxii,Michaux's sumac,Wherever found,4,Endangered,Flowering Plants,Virginia,,,,,,,,,,,,,,,,,
Amaranthus pumilus,Seabeach amaranth,Wherever found,4,Threatened,Flowering Plants,Virginia,,,,,,,,,,,,,,,,,
Helenium virginicum,Virginia sneezeweed,Wherever found,5,Threatened,Flowering Plants,Virginia,,,,,,,,,,,,,,,,,
Spiraea virginiana,Virginia spiraea,Wherever found,5,Threatened,Flowering Plants,Virginia,,,,,,,,,,,,,,,,,
Boechera serotina,Shale barren rock cress,Wherever found,5,Endangered,Flowering Plants,Virginia,,,,,,,,,,,,,,,,,
Gymnoderma lineare,Rock gnome lichen,Wherever found,4,Endangered,Lichens,Virginia,,,,,,,,,,,,,,,,,
Ptychobranchus subtentus,Fluted kidneyshell,Wherever found,4,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Elliptio lanceolata,Yellow lance,Wherever found,4,Threatened,Clams,Virginia,,,,,,,,,,,,,,,,,
Cumberlandia monodonta,Spectaclecase (mussel),Wherever found,3,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Noturus flavipinnis,Yellowfin madtom,"U.S.A. (TN, VA-specified portions of the Holston River and watershed; see 17.84(e)(1)(i))",4,"Experimental Population, Non-Essential",Fishes,Virginia,,,,,,,,,,,,,,,,,
Cambarus callainus,Big Sandy crayfish,Wherever found,5,Threatened,Crustaceans,Virginia,,,,,,,,,,,,,,,,,
Epioblasma triquetra,Snuffbox mussel,Wherever found,3,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Pleuronaia dolabelloides,Slabside Pearlymussel,Wherever found,4,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Fusconaia masoni,Atlantic pigtoe,Wherever found,4,Threatened,Clams,Virginia,,,,,,,,,,,,,,,,,
Plethobasus cyphyus,Sheepnose Mussel,Wherever found,3,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Etheostoma osburni,Candy darter,Wherever found,5,Endangered,Fishes,Virginia,,,,,,,,,,,,,,,,,
