Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group,State,,,,,,,,,,,,,,,,,
Pyrgulopsis chupaderae,Chupadera springsnail,Wherever found,2,Endangered,Snails,New Mexico,,,,,,,,,,,,,,,,,
Macrhybopsis tetranema,Peppered chub,Wherever found,2,Endangered,Fishes,New Mexico,,,,,,,,,,,,,,,,,
Zapus hudsonius luteus,New Mexico meadow jumping mouse,Wherever found,2,Endangered,Mammals,New Mexico,,,,,,,,,,,,,,,,,
Gila intermedia,Gila chub,Wherever found,2,Endangered,Fishes,New Mexico,,,,,,,,,,,,,,,,,
Coccyzus americanus,Yellow-billed Cuckoo,Western U.S. DPS,2,Threatened,Birds,New Mexico,,,,,,,,,,,,,,,,,
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,New Mexico,,,,,,,,,,,,,,,,,
Falco femoralis septentrionalis,Northern Aplomado Falcon,"U.S.A (AZ, NM)",2,"Experimental Population, Non-Essential",Birds,New Mexico,,,,,,,,,,,,,,,,,
Cirsium wrightii,Wright's marsh thistle,,2,Threatened,Flowering Plants,New Mexico,,,,,,,,,,,,,,,,,
Canis lupus baileyi,Mexican wolf,U.S.A. (portions of AZ and NM)see 17.84(k),2,"Experimental Population, Non-Essential",Mammals,New Mexico,,,,,,,,,,,,,,,,,
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals,New Jersey,,,,,,,,,,,,,,,,,
Trichechus manatus,West Indian Manatee,Wherever found,4,Threatened,Mammals,New Jersey,,,,,,,,,,,,,,,,,
Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",5,Threatened,Birds,New Jersey,,,,,,,,,,,,,,,,,
Sterna dougallii dougallii,Roseate tern,Northeast U.S. nesting population,5,Endangered,Birds,New Jersey,,,,,,,,,,,,,,,,,
Eretmochelys imbricata,Hawksbill sea turtle,Wherever found,4,Endangered,Reptiles,New Jersey,,,,,,,,,,,,,,,,,
Dermochelys coriacea,Leatherback sea turtle,Wherever found,4,Endangered,Reptiles,New Jersey,,,,,,,,,,,,,,,,,
Glyptemys muhlenbergii,bog turtle,"Wherever found, except GA, NC, SC, TN, VA",5,Threatened,Reptiles,New Jersey,,,,,,,,,,,,,,,,,
Alasmidonta heterodon,Dwarf wedgemussel,Wherever found,5,Endangered,Clams,New Jersey,,,,,,,,,,,,,,,,,
Habroscelimorpha dorsalis dorsalis,Northeastern beach tiger beetle,Wherever found,5,Threatened,Insects,New Jersey,,,,,,,,,,,,,,,,,
Isotria medeoloides,Small whorled pogonia,,5,Threatened,Flowering Plants,New Jersey,,,,,,,,,,,,,,,,,
Aeschynomene virginica,Sensitive joint-vetch,Wherever found,5,Threatened,Flowering Plants,New Jersey,,,,,,,,,,,,,,,,,
Helonias bullata,Swamp pink,,5,Threatened,Flowering Plants,New Jersey,,,,,,,,,,,,,,,,,
Schwalbea americana,American chaffseed,Wherever found,4,Endangered,Flowering Plants,New Jersey,,,,,,,,,,,,,,,,,
Amaranthus pumilus,Seabeach amaranth,Wherever found,4,Threatened,Flowering Plants,New Jersey,,,,,,,,,,,,,,,,,
Rhynchospora knieskernii,Knieskern's Beaked-rush,Wherever found,5,Threatened,Flowering Plants,New Jersey,,,,,,,,,,,,,,,,,
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,New Jersey,,,,,,,,,,,,,,,,,
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,New Jersey,,,,,,,,,,,,,,,,,
